country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,32.6,,,
Angola,,,,,,,,,,,,,,,,,,65.4,,
Albania,,,,,,,,,,,58.8,,,,,,,,,83.7
Armenia,,50.1,,,,,71.6,,,,,81.7,,,,,,77.1,,
Azerbaijan,,,,,,,,45.1,,,,,,,,,,,,
Burundi,,,,,,,,,,,,49.6,,,,,,,60.3,
Benin,,,17.2,,,,,35.6,,,,,,48.3,,,,,,36.3
Burkina Faso,,,,,10.2,,,,,,,12,,,,,,,,
Bangladesh,,,,,,27.6,,,38,,,,46,,,47.2,,,,
Bolivia,,,,,67,,,,,74.1,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,23.6,,,,,,
Cameroon,,,,,,23.1,,,,,,,23.7,,,,,,,46.7
"Congo, Dem. Rep.",,,,,,,,,24.4,,,,,,,33.5,,,,
"Congo, Rep.",,,,,,,,,,,,,,28.4,,,,,,
Colombia,,60.3,,,,,62.6,,,,,63,,,,,72.1,,,
Comoros,,,,,,,,,,,,,,34.6,,,,,,
Dominican Republic,,,,,,,,,70,,,,,,78.8,,,,,
Egypt,,29.7,,,,,45.2,,,52.2,,,,,,58.8,,,,
Eritrea,,,,50.1,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,45.4,,,,,,54.4,,,,,70.6,,
Gabon,,,,,,,,,,,,,,43.7,,,,,,
Ghana,,,,,39.7,,,,,49.2,,,,,,61.6,,,,
Guinea,,,,,,,34.9,,,,,,,23.2,,,,,,30.4
Gambia,,,,,,,,,,,,,,,39.2,,,,,
Guatemala,,,,,,,,,,,,,,,,,63.1,,,
Guyana,,,,,,,,,,,81.4,,,,,,,,,
Honduras,,,,,,,,57.8,,,,,,63.2,,,,,,
Haiti,,27.8,,,,,,52.6,,,,,,60.8,,,,,69.1,
Indonesia,,,,,68.7,,,,68.4,,,,,70.3,,,,,68.2,
India,,,,,,,,39.3,,,,,,,,,,63,,
Jordan,,,,53.1,,,,,62.4,,,,,65.1,,,,,,77.8
Kenya,,,,,25.7,,,,,,52.3,,,,,55.8,,,,
Kyrgyz Republic,,,,,,,,,,,,,,79.3,,,,,,
Cambodia,,,,,,,74.2,,,,,85.6,,,,86.3,,,,
Liberia,,,,,,,,,,,,,,,65.9,,,,,
Lesotho,,,,,,27.6,,,,,53.5,,,,,65.4,,,,
Morocco,,,,,,44,,,,,,,,,,,,,,
Moldova,,,,,,,92.8,,,,,,,,,,,,,
Madagascar,,,,,,72.3,,,,,73.9,,,,,,,,,
Maldives,,,,,,,,,,,48.6,,,,,,,,79.6,
Mali,,,8.2,,,,,11.3,,,,,,,8.9,,,,,10.4
Myanmar,,,,,,,,,,,,,,,,,,65.3,,
Mozambique,,,,,29,,,,,,,,49.4,,,,64.7,,,
Malawi,,11,,,,13.1,,,,,,22.3,,,,,,46.9,,
Namibia,,,,,,,,,65.5,,,,,,74.6,,,,,
Niger,,,,,,,,8.6,,,,,,12.3,,,,,,
Nigeria,,,,,13.9,,,,,32.1,,,,,31.3,,,,,33.5
Nicaragua,,,58.9,,,,,,,,,,,,,,,,,
Nepal,,,17.4,,,,,38.1,,,,,45.5,,,,,37.7,,
Pakistan,,,,,,,,,,,,,,,38.2,,,,,35.8
Peru,,63.3,,,,,,54,,59.6,66.3,62.8,63,64.7,,,,,,
Philippines,,,,,70.5,,,,,79.2,,,,,80.2,,,,85,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,61.6
Rwanda,,39.3,,,,,47.1,,,,,58.7,,,,,65.4,,,
Senegal,,,,,,,9.5,,,,,,17.7,,9.5,9.7,9.9,6.3,14.1,9.7
Sierra Leone,,,,,,,,,,40.9,,,,,45.4,,,,,
Sao Tome and Principe,,,,,,,,,,,46.9,,,,,,,,,
Eswatini,,,,,,,,,36.7,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,17.4,,,
Togo,,,,,,,,,,,,,,,,29.4,,,,
Tajikistan,,,,,,,,,,,,,,43.1,,,,,33.1,
Turkmenistan,,61.5,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,74.9,,,,,,87.2,,
Tanzania,,,,,,,25.4,,,,,30.3,,,,,,35.2,,
Uganda,,,28.5,,,,,38.8,,,,,37.5,,,,,51.1,,
Ukraine,,,,,,,,,90.1,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,87.2,,
Zambia,,,,18,,,,,38.7,,,,,,,53.8,,,,57.8
Zimbabwe,40.5,,,,,,,74.9,,,,,74.5,,,,72.1,,,
